Day,S                 ,E                    ,I                    ,R
30 ,1.08374783942546  ,0.44186895960746897  ,9.70118296464753     ,88.77320023631954
31 ,0.9891251147251895,0.31555720450400504  ,7.981880851521757    ,90.71343682924905
32 ,0.9180694054083313,0.2288343115688608   ,6.543283283469409    ,92.3098129995534
33 ,0.8640047116670739,0.1684818495256877   ,5.349043782559957    ,93.61846965624729
34 ,0.8224103203876665,0.1258353160422513   ,4.36347595081081     ,94.68827841275927
35 ,0.7901132114952747,0.0952147669135174   ,3.5536984186697733   ,95.56097360292144
36 ,0.7648427948629271,0.07287780008910638  ,2.8905661183925773   ,96.27171328665538
37 ,0.7449453368443799,0.05633635806310035  ,2.348891794758615    ,96.8498265103339
38 ,0.7291971729410628,0.043916342934867285 ,1.9072816148384422   ,97.31960486928563
39 ,0.7166801136871789,0.03447523072131756  ,1.5477834633381873   ,97.70106119225332
40 ,0.7066967230309638,0.027221006016873908 ,1.2554643860312087   ,98.01061788492096
41 ,0.6987116299235507,0.021595596115849977 ,1.017982011833404    ,98.26171076212721
42 ,0.692310147087062 ,0.017199280894413745 ,0.8251834075246481   ,98.4653071644939
43 ,0.6871686014709272,0.013741186063341602 ,0.6687463664669253   ,98.63034384599882
44 ,0.6830327279224726,0.01100646658012537  ,0.5418676862052111   ,98.76409311929221
45 ,0.6797017076475366,0.008834253564998739 ,0.43899738225423157  ,98.87246665653325
46 ,0.6770162222141975,0.007102612215838366 ,0.3556150325858846   ,98.96026613298409
47 ,0.6748494079008827,0.005718120421234052 ,0.28804333217662687  ,99.03138913950127
48 ,0.6730999350513599,0.004608533060139771 ,0.23329372595191852  ,99.0889978059366
49 ,0.6716866651252847,0.0037175364561450206,0.1889392472916047   ,99.13565655112698
50 ,0.6705444933689635,0.0030009399843937256,0.15301016606135626  ,99.17344440058531
51 ,0.6696210922504263,0.002423871110734081 ,0.12390860284128187  ,99.20404643379759
52 ,0.6688743459246621,0.0019586818811312716,0.10033881782839253  ,99.22882815436584
53 ,0.6682703193743498,0.0015833674908780147,0.08125039520327966  ,99.24889591793152
54 ,0.6677816443263836,0.0012803587934050978,0.06579199990806273  ,99.26514599697218
55 ,0.6673862321174445,0.0010355916056416956,0.05327377932315273  ,99.27830439695379
56 ,0.6670662444357663,8.377834844990638E-4 ,0.04313681926134303  ,99.28895915281842
57 ,0.6668072683915722,6.778677864436487E-4 ,0.03492834715132395  ,99.29758651667069
58 ,0.6665976541097915,5.485481750024863E-4 ,0.028281611614280985 ,99.30457218610096
59 ,0.6664279820061828,4.439461911099586E-4 ,0.02289956337892603  ,99.3102285084238
60 ,0.6662906338178799,3.5932128385794253E-4,0.018541623798695804 ,99.31480842109958
61 ,0.6661794468254243,2.908476343845827E-4 ,0.015012959680885615 ,99.31851674585933
62 ,0.6660894348988454,2.3543574377111434E-4,0.012155791561900782 ,99.32151933779551
63 ,0.6660165632998555,1.9058947087548898E-4,0.009842351121406183 ,99.32395049610788
64 ,0.6659575667800375,1.542912552557693E-4 ,0.00796917563256269  ,99.32591896633217
65 ,0.665909802584716 ,1.249098229494226E-4 ,0.006452486133678036 ,99.32751280145868
66 ,0.6658711316208089,1.0112587538183472E-4,0.00522444381841714  ,99.32880329868541
67 ,0.6658398223639518,8.187219454804622E-5 ,0.00423011799242463  ,99.3298481874491
68 ,0.6658144731348379,6.628532638791425E-5 ,0.0034250304912137267,99.33069421104759
69 ,0.6657939492209901,5.3666577041761126E-5,0.0027731670561649386,99.33137921714582
70 ,0.6657773320003746,4.345050913644298E-5 ,0.0022453669334528315,99.33193385055705
71 ,0.6657638777707178,3.517948422506629E-5 ,0.0018180188013304866,99.33238292394374
72 ,0.6657529844294945,2.8483083335837856E-5,0.0014720047831769225,99.332746527704
73 ,0.665744164505297 ,2.3061465865369673E-5,0.0011918453682094568,99.33304092866064
74 ,0.6657370233284071,1.8671909822587852E-5,9.650070275002503E-4 ,99.33327929773428
75 ,0.6657312413602533,1.5117923065105025E-5,7.813415769114941E-4 ,99.33347229913979
76 ,0.6657265598887719,1.2240433013865515E-5,6.326322230617478E-4 ,99.33362856745516
77 ,0.6657227694481102,9.91065716873591E-6  ,5.12225994956331E-4  ,99.33375509389978
